timestamp_sec,module_id,range_m,self_range_error
154.164325,100.0,11.671,0.055
154.18535,101.0,5.39,0.024
154.206367,102.0,14.03,0.055
154.227419,103.0,8.887,0.055
154.249264,100.0,11.702,0.055
154.270296,101.0,5.43,0.055
154.29133,102.0,14.002,0.055
154.312396,103.0,8.809,0.024
154.333418,100.0,11.738,0.055
154.354435,101.0,5.507,0.055
154.37544,102.0,13.955,0.055
154.396442,103.0,8.744,0.024
154.41745,100.0,11.774,0.024
154.438484,101.0,5.541,0.024
154.459525,102.0,13.925,0.055
154.480557,103.0,8.68,0.024
154.50159,100.0,11.811,0.055
154.522593,101.0,5.601,0.055
154.543627,102.0,13.885,0.055
154.564645,103.0,8.599,0.055
154.585663,100.0,11.836,0.055
154.60667,101.0,5.658,0.055
154.627723,102.0,13.871,0.055
154.648755,103.0,8.538,0.024
154.669793,100.0,11.868,0.024
154.690833,101.0,5.71,0.055
154.711882,102.0,13.807,0.055
154.732923,103.0,8.465,0.024
154.754379,100.0,11.896,0.055
154.77541,101.0,5.765,0.055
154.796423,102.0,13.776,0.055
154.817436,103.0,8.39,0.024
154.838458,100.0,11.936,0.055
154.859499,101.0,5.814,0.024
154.880545,102.0,13.733,0.055
154.90156,103.0,8.316,0.055
154.92258,100.0,11.953,0.055
154.943621,101.0,5.887,0.024
155.109288,103.0,8.144,0.055
155.130321,100.0,12.037,0.055
155.151378,101.0,6.017,0.055
155.172472,102.0,13.594,0.055
155.193502,103.0,8.064,0.055
155.214586,100.0,12.073,0.024
155.235605,101.0,6.081,0.055
155.256641,102.0,13.56,0.055
155.277663,103.0,7.992,0.055
155.298667,100.0,12.1,0.055
155.319713,101.0,6.138,0.024
155.340747,102.0,13.531,0.055
155.361763,103.0,7.922,0.055
155.382772,100.0,12.135,0.055
155.404102,101.0,6.193,0.024
155.425126,102.0,13.485,0.055
155.446153,103.0,7.852,0.055
155.467201,100.0,12.161,0.055
155.488252,101.0,6.251,0.055
155.509284,102.0,13.449,0.055
155.530292,103.0,7.792,0.055
155.551383,100.0,12.188,0.055
155.572393,101.0,6.319,0.055
155.593675,102.0,13.402,0.055
155.614688,103.0,7.721,0.024
155.635723,100.0,12.246,0.055
155.657137,101.0,6.371,0.024
155.678171,102.0,13.369,0.055
155.699204,103.0,7.656,0.055
155.72025,100.0,12.238,0.055
155.75387,102.0,13.33,0.055
155.774874,103.0,7.595,0.024
155.795909,100.0,12.279,0.055
155.817097,101.0,6.487,0.024
155.838124,102.0,13.283,0.055
155.859149,103.0,7.522,0.055
155.882365,100.0,12.313,0.055
